example_id,split,conversation_id,customer_message,prior_context,primary_intent,required_action,risk_flags,acceptable_response_actions,forbidden_claims,label_rationale,annotation_confidence
spotify_2780799,dev,thread_2780798,"@SpotifyCares Two or three times over the last few months, my offline Spotify song database has disappeared, and I have to re-download all of my offline songs. I pay for premium to get those offline songs, and it is so so incredibly frustrating.",,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2609447,dev,thread_2609446,give me #PerfectVelvet @115888 @15672,,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2739621,dev,thread_2739620,@SpotifyCares having problems trying to sign up w/student discount-my acct says free &amp; yet my debit card has multiple charges-help please!,,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2597264,dev,thread_2597263,@SpotifyCares Can you help my sister @100378 Please. She's having a hard time accepting my invite for spotify family premium plan. Thank you.,,playback_technical,AUTO_HANDLE,none,acknowledge screenshot and troubleshoot,none_specific,safe technical followup,high
spotify_2743171,dev,thread_2743170,@458188 @118062 @379972 @118061 When will it be on @115888 @SpotifyCares,"CUSTOMER: Taylor Swift is the ONLY ARTIST to have FOUR CONSECUTIVE ALBUMS debuting with over 1 MILLION PURE SALES in the United States! 

💽 Speak Now (1.047 MILLION)
💽 RED (1.208 MILLION)
💽 1989 (1.287 MILLION)
💽 #reputation (1.216 MILLION)

Congratulations, @118062 🍾 https://t.co/rhMHW4cQgj",playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2631716,dev,thread_2631715,"@SpotifyCares Yeah, but I️ use Spotify about 5 hours a day during the week. Is that not enough?","CUSTOMER: Yo @115888 how about some actual new releases on my Release Radar instead of a playlist full of remixes
BRAND: @743116 Hi Megan! The more you use Spotify, the more personalized Release Radar becomes. Carry on listening to the songs you love, making sure you’re not in a Private Session 🎶 /AU",playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2653189,dev,thread_2653185,@SpotifyCares Hey guys any insight as to why my downloaded music keeps getting deleted off my ipod? Bit of a pain having to re-download a few thousands songs,,playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2774535,dev,thread_2774531,@SpotifyCares I make a lot of playlists (never use the Spotify suggested ones) and at first the tracks show up but often change over time to a similar but wrong track,"CUSTOMER: @SpotifyCares Hi. Any way to turn off player’s auto search for a similar track to one available offline? Lots of errors in my playlists because a fault in this feature. Thanks.
BRAND: @172660 Hi, help's here! Just to clarify, are you looking for the option to only search tracks that are available offline? Can you also tell us the make &amp; model of the device you're using? /RR
CUSTOMER: @SpotifyCares No. Spotify always tries to find similar tracks to ones in my library but often gets it really wrong. There doesn’t seem to be a way to turn that function off. MacBook with latest update of Spotify.
BRAND: @172660 Are the inaccurate tracks popping up whenever you use the Search bar, or are they showing up on your Discover Weekly and other similar playlists? /RR",playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2786616,dev,thread_2786614,@117153 504** @115888,CUSTOMER: @117153 Your site is down? I got a 503,playback_technical,AUTO_HANDLE,none,safe technical followup,none_specifiv,safe technical followup,high
spotify_2716983,dev,thread_2716982,@115888 You should make a sub-category for local artists under Discover. #theresafreebie,,playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2666955,dev,thread_2666954,@SpotifyCares why is there no @9743 behind the lyrics option on this song? I’m trying to figure out what it’s about https://t.co/PhwJ6OcM2W,,playback_technical,AUTO_HANDLE,account_specific_action,safe technical followup,none_specific,safe technical followup,high
spotify_2734618,dev,thread_2734617,@SpotifyCares ?????????? https://t.co/IILkN8GVMf,,playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2560580,dev,thread_2560579,@115888 When will the app be updated to take advantage of the iPhone X screen?,,playback_technical,AUTO_HANDLE,none,safe technical followup,none_specific,safe technical followup,high
spotify_2574068,dev,thread_2574067,@SpotifyCares ok but can i change my display name on my old account hfdsjfs,"CUSTOMER: @115888 let us change our usernames u cowards
BRAND: @729956 Hey there! Right now, it's not possible to choose a username at sign-up, but you can add a display name instead. Other Spotify users will see this name when they visit your profile. If you ever need anything else, just shout and we'll come running 🏃 /DQ",playback_technical,AUTO_HANDLE,none,safe technical followup,none_specifiv,safe technical followup,high
spotify_677741,representative_test,thread_677740,"@SpotifyCares having issues with music play. Nothing played, log in issues maybe..",,playback_technical,ESCALATE,multi_issue;insufficient_context,ask for device and app version or exact error message,none_specific,vague report mentioning both playback and login issues,high
spotify_592816,representative_test,thread_592815,@SpotifyCares Ok. Thanks!,"CUSTOMER: @115888 How do i update my payment info? I don't see a way on the website.
BRAND: @260319 Hi Ray! You should be able to do so by following the steps at https://t.co/BShdiBtHc4 /DV",playback_technical,ESCALATE,multi_issue;insufficient_context,ask for device and app version or exact error message,none_specific,vague report mentioning both playback and login issues,high
spotify_2944912,representative_test,thread_2944911,Yo @125633. How do you create your own artist page on Spotify and get access to it? I'm tryna upload sum music on there,,product_how_to,AUTO_HANDLE,none,Provide instructions on how to claim and access Spotify for Artists to upload music,none_specific,"The customer is asking a general how-to question regarding creating an artist page and uploading music, which maps to product_how_to and can be auto-handled.",high
spotify_2699563,representative_test,thread_2699562,@SpotifyCares  I have just signed up to Family Premium. I am unable to invite friends as when I click on Premium for Family on the left side nothing comes up. What do I need to do,,product_how_to,AUTO_HANDLE,none,Provide step-by-step instructions on how to invite members to a Family plan or access the Family management page via the account page.,none_specific,"The customer is asking how to use the Family plan invite feature and experiencing a UI loading issue, which falls under product how-to and can be auto-handled.",high
spotify_2913776,representative_test,thread_2913775,WORK @SpotifyCares,,other_unclear,ESCALATE,possible_account_compromise; insufficient_context,Ask the user to clarify their request and verify their account ownership securely if impersonation is suspected,Do not confirm employment or grant any internal access,"The message is extremely ambiguous and mimics a potential staff impersonation, requiring safety escalation",high
spotify_2862761,representative_test,thread_2862760,"@SpotifyCares I can’t get into my account because I forgot my password. I have requested an email link too change it but nothing has come through. I have done this a few times over the last few days, nothing in my junk box either. Can you please help with this?",,account_access,ESCALATE,account_specific_action; possible_account_compromise,"Verify user identity securely, check account status, and assist with password reset or manual recovery.",Do not claim that the password has already been successfully reset without verification.,"The customer is unable to access their account due to password issues and not receiving password reset emails, requiring manual support and account-specific action.",high
spotify_448843,representative_test,thread_448842,@115888 i finally got it. now what do ? ;),"CUSTOMER: still trying to get @115888 to let me gain access to my own page. ug. HELLO, its been months",account_access,AUTO_HANDLE,none,Acknowledge the user successfully regained access to their account and offer further product how-to assistance if needed.,none_specific,"The customer states they finally gained access to their account and is now asking for next steps regarding feature usage, falling under account access resolution and general product how-to guidance.",high
spotify_2919405,representative_test,thread_2919404,@SpotifyCares thanks for letting someone change my email and lock me out of my account. So cool you guys don’t have a phone number to help,,account_access,ESCALATE,account_specific_action;possible_account_compromise,"Acknowledge account compromise, gather secure verification details, and initiate password/email recovery protocols safely.",Do not claim that accounts cannot be hacked or that phone support is currently available.,"The customer is complaining that their account email was changed and they are locked out, which indicates a suspected account compromise requiring escalation.",high
spotify_104118,representative_test,thread_104117,@115888 where tf do I buy premium in the app???? Sos,,billing_subscription,AUTO_HANDLE,none,"Explain that due to app store policies, Spotify Premium usually cannot be purchased directly within the iOS app, and guide them to use a web browser to log in and upgrade at spotify.com/premium.",Do not claim that subscriptions can always be purchased directly inside the mobile app.,"The user is asking how to buy a subscription inside the app, which is a product how-to and billing subscription inquiry handled routinely by pointing them to the website.",high
spotify_2826945,representative_test,thread_2826943,Get ramz barking on @115888,,other_unclear,ESCALATE,insufficient_context,Ask the user to clarify their request and provide more details about the issue they are facing.,none_specific,The message is too ambiguous and lacks sufficient context to determine the exact intent or how to assist.,high
spotify_539185,representative_test,thread_539184,I’m trying to get @115888 premium 10m promo but I can’t find the button. I’m I hella high??  https://t.co/Ot5xfses33,,billing_subscription,ESCALATE,possible_account_compromise; insufficient_context,"Verify the promotion link, check user account eligibility, and advise on valid promotion redemption steps.",Do not validate unofficial promotional links or promise discounts not available on the official account.,"The user is asking about a promo and sending an external shortened link, which poses a potential phishing/compromise risk and involves promotional billing.",high
spotify_100149,representative_test,thread_100148,@127637 des soucis avec la connection @118117 ? Impossible de me reconnecter à ma Play:1 Cc @SpotifyCares @137949,,playback_technical,AUTO_HANDLE,none,"Acknowledge connection issue with Sonos Play:1, provide troubleshooting steps for network connectivity or speaker reconnection.",none_specific,"The customer is reporting a connectivity issue specifically related to a Sonos Play:1 device, which falls under playback and technical troubleshooting.",high
spotify_1736631,representative_test,thread_1736630,@115888 annoying me... why dont y’all have a number to call,,other_unclear,ESCALATE,insufficient_context,"Acknowledge frustration, explain that support is primarily handled online/via chat rather than phone, and ask how to help.",none_specific,"The customer is complaining about the lack of a phone number and lacks clear context regarding a specific support issue, requiring routing/escalation guidelines.",high
spotify_160541,representative_test,thread_160540,@115888 why am i only getting 3 Songs out of a 17 song Album? https://t.co/YWD3uRASzd,,library_content,AUTO_HANDLE,none,"Explain licensing, grayed-out tracks, or album availability issues",none_specific,"The user is asking why only a few songs are available from an album, which falls under library_content and can be auto-handled.",high
spotify_466075,representative_test,thread_466073,"can we do s/t about how when i search my saved songs, it only plays the ONE song? aka the queue is empty? sometimes i wanna start my shuffle with a song and having to scroll through all of them for one song is a lot. i mean, im not dying but it's a lot. thanks gf! @SpotifyCares",,product_how_to,AUTO_HANDLE,none,"Explain how searching within Liked Songs works regarding playback and queuing, and provide tips on how to start shuffle playback from a specific searched track.",none_specific,"The user is asking a how-to question about playback behavior when searching within their saved songs (library content feature usage), which is suitable for automated or standard support handling without high-risk flags.",high
spotify_564491,representative_test,thread_564490,@SpotifyCares can I get my Spotify account reset to use my email not Facebook,,account_access,ESCALATE,account_specific_action,"Guide the user through the process of unlinking Facebook and setting up an independent email login, or escalate securely to support account changes.",none_specific,"The user is asking to change their account login method from Facebook to a direct email, which involves account access and modification.",high
spotify_466052,representative_test,thread_466050,"@SpotifyCares It just keep showing this ads and I need kill the app to remove it, the dismiss button is not working https://t.co/aBHnWvJpyA","CUSTOMER: @115888 hey there I am having problem on my app, the advertisement just keep popping out and I could not close it, until I kill the app and boot again, the problem continue happening
BRAND: @225883 Hey, the cavalry's here! What's the exact device, operating system, and Spotify app version you're using? Can you also send over a screenshot of the ad you're getting? We'll do our best to help out /NJ",playback_technical,AUTO_HANDLE,none,"Provide troubleshooting steps for a malfunctioning ad banner on the mobile app, such as clearing app cache or reinstalling, or acknowledge the provided screenshot to report the broken ad.",none_specific,"The customer is reporting a technical malfunction where an advertisement dismiss button is not working and requires killing the app, which falls under playback_technical.",high
spotify_703202,representative_test,thread_703201,@118266 kenapa pembelian lewat nomer ponsel susah dilakukan? Mohon bantuannya. Thx,,billing_subscription,ESCALATE,financial_dispute,"Acknowledge the billing/payment issue with mobile carrier billing, ask for specific error details if needed, and escalate to a billing support specialist.",Do not guarantee that carrier billing will work immediately without checking carrier-specific status.,"The customer is asking about difficulties making a purchase using their mobile phone number, which involves billing and payments requiring escalation for financial/carrier dispute handling.",high
spotify_2916633,representative_test,thread_2916632,@115888 @SpotifyCares @116130 sort your app out! https://t.co/laXfo41scQ,,playback_technical,AUTO_HANDLE,insufficient_context,Ask the user for more details about the app issue they are experiencing and provide basic troubleshooting steps such as restarting the app or checking network connection.,none_specific,"The user is complaining about the app not working properly, which falls under playback_technical, but provided no specific context or details.",high
spotify_481118,representative_test,thread_481117,Thumbs up for @SpotifyCares excellent #CustomerService 👍| @115888 #spotify,,other_unclear,AUTO_HANDLE,none,Acknowledge the positive feedback politely and close the interaction if no further help is needed.,none_specific,The customer is simply expressing appreciation and giving positive feedback without asking for support or reporting an issue.,high
spotify_2829084,representative_test,thread_2829083,@115888 where can i find the release notes of last updates? can't find it :/,,product_how_to,AUTO_HANDLE,none,Provide instructions or a link on where to find release notes or app update histories for Spotify.,none_specific,"The customer is asking how to find release notes for recent updates, which falls under product_how_to and is safe to auto-handle.",high
spotify_2835033,representative_test,thread_2835032,@SpotifyCares It is due of one of my family member couldn't fill my complete address when he got invitation mail to apply Premium Family. Forgive me for my bad English. Thank you. My registered email is __email__,,billing_subscription,ESCALATE,account_specific_action;sensitive_information,"Verify the account and address details for the Premium Family plan invitation, and assist the user in updating or re-sending the invitation with the correct address.",Do not promise an immediate address override without account verification.,"The user is asking for help regarding a Premium Family plan invitation address error and provided their registered email, which involves account-specific subscription actions and sensitive information requiring escalation.",high
spotify_2968487,representative_test,thread_2968486,@115888 how you let @335001 have 2 Holiday Spotify Singles but no @364751 ??? https://t.co/HQQvdG3pog,,library_content,AUTO_HANDLE,none,Explain how Spotify licenses and acquires content like Holiday Singles and note that availability can vary based on artist agreements and distributor rights.,none_specific,"The customer is asking about the availability of specific content (Holiday Spotify Singles) for a particular artist compared to others, which falls under library_content.",high
spotify_2848340,representative_test,thread_2848339,@SpotifyCares Please don't propose playlist when some tracks are not available in my Country ! https://t.co/T1fceWaZUE,,library_content,AUTO_HANDLE,none,Explain licensing and regional availability constraints for tracks included in playlists.,Claim that all playlists are fully available in every country without regional restrictions.,"The customer is complaining about tracks not being available in their country within a proposed playlist, which relates to library content and content availability.",high
spotify_2545278,representative_test,thread_2545276,@SpotifyCares And after nearly 2 hrs of redownloading everything it does not sound as good as before either. Wtf is going on?? Im very upset!!!,,playback_technical,AUTO_HANDLE,none,"Acknowledge frustration, suggest checking audio quality settings in the app, and advise on reinstalling or clearing cache if needed.",Do not claim that Spotify permanently lowered audio quality or promise financial compensation.,"The customer is complaining about audio quality after redownloading, which falls under playback technical issues.",high
spotify_2857495,representative_test,thread_2857491,@SpotifyCares No problem y'all are a big help,"CUSTOMER: @115888 when are you guys gonna put up @5568's new mixtape Karma up
BRAND: @136858 Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /DB
CUSTOMER: @SpotifyCares Thanks guys really can't wait to hear this mixtape
BRAND: @136858 No worries! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ",other_unclear,AUTO_HANDLE,none,Acknowledge the customer's polite closing remark or leave the conversation unreplied as it is just pleasantry.,none_specific,The customer is simply expressing gratitude and closing the interaction following a previous conversation about music availability.,high
spotify_530127,representative_test,thread_530126,@SpotifyCares so I have a premium student account and Hulu is saying it's having trouble authorizing my Spotify account?,,billing_subscription,ESCALATE,account_specific_action,"Verify the student bundle subscription status, check Hulu bundle linking eligibility, and guide the user through re-authorizing the Hulu account or escalate to partner support if needed.",Do not claim that Hulu bundles are managed entirely by Hulu without Spotify's involvement.,"The issue involves a third-party bundle partnership (Spotify Premium Student with Hulu), which requires account-specific troubleshooting regarding subscription benefits.",high
spotify_2844595,representative_test,thread_2844594,"@SpotifyCares My email won't update on Spotify, and I submitted a support ticket via the Contact Us form, but it said you'll email me back to my old email that I can't access. Can I email __email__ directly?",,account_access,ESCALATE,account_specific_action; possible_account_compromise; sensitive_information,Verify account ownership via alternative secure methods and assist with updating the email address.,Do not send account confirmation links to the inaccessible email address.,"The customer cannot access their email address and needs help updating it, involving account security and verification which requires escalation.",high
spotify_551326,representative_test,thread_551325,"@116130 hey, how come we have to pay more for the same service as received in the US? US $9.99 UK equivalent $13.50, so over a year we're paying an extra $42",,billing_subscription,ESCALATE,financial_dispute,"Explain regional pricing policies, tax differences, and currency conversion context while remaining polite.",Do not promise a refund or a price match to US rates.,"The customer is questioning pricing differences between regions, which relates to billing policies and involves financial grievances.",high
spotify_1915260,representative_test,thread_1915259,"@SpotifyCares would like to cancel my membership and get a refund. I just signed up yesterday, found a better deal somewhere else",,billing_subscription,ESCALATE,financial_dispute;account_specific_action,"Verify account ownership, review subscription start date and refund eligibility under policy, process cancellation and issue refund if applicable.",Do not promise a refund before checking eligibility; do not claim refunds are never allowed.,"The customer is explicitly requesting a subscription cancellation and a refund, which involves financial actions and account specifics requiring escalation.",high
spotify_497754,representative_test,thread_497753,"@SpotifyCares where are all of the Frankie Valli &amp; The Four Seasons tracks? 75% of the tracks are unplayable on Criminally Ignored Hits, it's been like this for months now. Seems like all their good stuff is unplayable",,library_content,AUTO_HANDLE,none,Explain licensing and regional availability for catalog tracks,Claiming permanent removal without verifying current licensing status,"The user is reporting that specific artist tracks are unplayable within a playlist, falling under library content and availability.",high
spotify_587525,representative_test,thread_587524,"@SpotifyCares hello, I ve just payed Spotify premium, but I forgot to update my country in the details before. My account shows me that my current country is UK , bun now I live in the Netherlands. I payed with pound. Is there anyway to fix this?",,billing_subscription,ESCALATE,account_specific_action;financial_dispute,"Verify payment details, explain country change policy, and assist with updating country settings and currency mismatch.",Do not promise an automatic refund without reviewing the transaction.,"The customer is asking about a payment made in the wrong currency and a country mismatch on their account, which requires billing and account-specific intervention.",high
spotify_2865482,representative_test,thread_2865480,When #reputation wil be on @115888 @SpotifyCares @118062?,,library_content,AUTO_HANDLE,none,Provide information about album availability or release schedules for the requested artist,Do not promise an exact release date if licensing deals are pending,The customer is asking about when a specific music album will be available on the platform,high
spotify_2848322,representative_test,thread_2848319,Any ideas on apps to replace @116130?! I’m so fed up of the Random pausing of songs daily!,,playback_technical,AUTO_HANDLE,none,"Acknowledge the frustration with playback pausing, provide standard troubleshooting steps for playback issues (such as clearing cache, checking device settings, or reinstalling the app), and offer further help if the issue persists.",Do not claim that Spotify will permanently fix external hardware or operating system bugs instantly.,"The customer is complaining about random pausing of songs, which falls under playback technical issues. It can be auto-handled with standard troubleshooting steps.",high
spotify_2859035,representative_test,thread_2859034,"@spotifycares I keep trying to change my payment method on my account, and when i hit continue and all it does is spin endlessly. help?",,billing_subscription,ESCALATE,account_specific_action,"Acknowledge the billing page error, guide the user to clear browser cache or try an alternative browser, and escalate or collect account details if troubleshooting fails.",Do not claim that the payment method has already been updated successfully.,"The user is experiencing a technical issue while attempting to update their billing payment method, which involves billing_subscription and an account_specific_action requiring escalation if troubleshooting fails.",high
spotify_150655,representative_test,thread_150654,@SpotifyCares any news abt reputation to be in spotify??,,library_content,AUTO_HANDLE,none,Inform the customer regarding content availability for the requested album/artist,Do not promise an exact release date if not officially announced,The user is asking about the availability of a specific music release on the platform.,high
spotify_2844615,representative_test,thread_2844614,"Ok @115888 y'all used to give 3 months for 99cents. I look forward to it every New Year's Eve. But this year y'all wanna charge $9.99. Like what is this. Y'all wanna act brand new. I expect this from school, but from you? Nah I'm good. Broke my heart💔 https://t.co/JhP2wmiATS",,billing_subscription,AUTO_HANDLE,none,"Explain current promotional offerings and pricing structure, and validate the customer's feelings about past promotions without offering unauthorized discounts.",Do not promise that the 99-cent promotion will return or guarantee a specific future discount.,"The customer is complaining about the price of a subscription and comparing current pricing to past promotions, which falls under billing and subscription pricing concerns.",high
spotify_2854385,representative_test,thread_2854384,@115888 Do I really need to go back to @115948 cause y'all don't have @87725? Cause I will......👋🏾,,library_content,AUTO_HANDLE,none,"Check content availability for the requested artist or track, explain licensing/availability, and guide them on how to request missing content.",Do not guarantee that the missing content will be added immediately.,"The customer is complaining about a specific artist or track not being available on the platform, which falls under library_content.",high
spotify_2910984,representative_test,thread_2910983,@SpotifyCares web app in chrome isnt working...,,playback_technical,AUTO_HANDLE,none,"Provide standard troubleshooting steps for Spotify Web Player in Google Chrome, such as clearing browser cache, trying incognito mode, or checking browser extensions.",Do not claim that the server is permanently down without checking status.,"The customer is reporting a technical issue with the web player on Chrome, which falls under playback_technical and can be auto-handled with standard troubleshooting steps.",high
spotify_456859,representative_test,thread_456858,@115888 your payment system in Mexico hasn’t worked for days. Is this an invitation to move to Apple Music?,,billing_subscription,ESCALATE,financial_dispute;account_specific_action,"Acknowledge the billing/payment regional issue in Mexico, apologize for the inconvenience, and escalate to billing support to investigate regional payment processing failures.","Do not claim that the payment system is fully functional without verification, and do not dismiss the user's frustration.","The customer is complaining about a broken payment system in Mexico preventing subscription actions, which involves financial processing and requires escalation.",high
spotify_490774,representative_test,thread_490773,"@115888 Unable to access my account after you sent email advising that I change my password. Always gives error message ""CSRF token invalid"". Tried clearing cookies. Can't send you a message via the website because it wants me to log in first. Please advise.",,account_access,ESCALATE,account_specific_action; possible_account_compromise,"Verify user identity securely, assist with the CSRF token login error, and help reset the password following the security email.",none_specific,"The customer is unable to log in due to a CSRF error following a password reset prompt, which involves account access and a potential security compromise requiring escalation.",high
spotify_667168,representative_test,thread_667167,@115888 can you add a feature so I can block certain artists from my music feed? Like I never wanna hear the craptastic @3568 @4711  @30403 or @1266 ever again and ive been thumbing them down since signing up. #stopshittymusic,,product_how_to,AUTO_HANDLE,none,Explain how to use the 'don't play this artist' feature on Spotify and clarify current functionality regarding blocking artists.,Do not promise that a new feature will be developed immediately based on this tweet.,"The user is asking how to block certain artists from appearing in their music feed, which maps to product how-to/feature usage.",high
spotify_662999,representative_test,thread_662998,@115888 @SpotifyCares I DO NOT GIVE TWO SHITS ABOUT MARVEL PUNISHERS,,library_content,AUTO_HANDLE,none,"Acknowledge user preference regarding content recommendations, provide instructions on how to hide or block unwanted content or playlists.",none_specific,"The customer is expressing frustration about specific content recommendations appearing on their feed, which falls under library_content and product how-to, but is primarily a content issue.",high
spotify_1911975,representative_test,thread_1911974,@139985 @SpotifyCares anything new on why his music is being removed?,"CUSTOMER: #NewProfilePic https://t.co/LdA0NJtrEC
CUSTOMER: @139985 Your music is gone from Spotify again 😕",library_content,AUTO_HANDLE,none,Explain licensing agreements and why certain tracks or artist catalogs temporarily become unavailable on Spotify.,Do not promise an exact date for when the music will return unless official licensing info is confirmed.,The customer is asking about content availability and why certain music was removed from Spotify.,high
spotify_677748,representative_test,thread_677747,@115888 hello when will @118062 's new album be put on Spotify? I'm poor,,library_content,AUTO_HANDLE,none,"Explain how music is added to Spotify via distributors and artists, and suggest following the artist to get notified upon release.",Do not promise a specific release date for the artist's album.,The customer is asking about content availability and when a specific album will be put on Spotify.,high
spotify_2824408,representative_test,thread_2824407,"@SpotifyCares (wrong poll), but thanks for the try.  I can't seem to add my vote to the ∞ already received - I'd also like to be able to manage it from the family account instead of the app.. https://t.co/W7whtWTqiM","CUSTOMER: wow @115888 - ""Premium for Family"" isn't much use if I can't tell it which are kids (and filter!) and which are adults. ""Spotify for adults who live at the same address"" probably closer...
BRAND: @786908 Hey there! We could see why you'd like to filter explicit tracks. Vote here to show your support for the idea: https://t.co/sOiqGQrIHC /MA",product_how_to,AUTO_HANDLE,none,"Acknowledge the user's feedback regarding family account management and explicit content filtering, and explain how to submit feedback or manage family settings correctly.",none_specific,"The customer is discussing feature requests and how-to questions regarding managing a Family plan and filtering content, which fits product_how_to and can be auto-handled.",high
